kernel,type,n,gops,peak_gops,efficiency,seconds,reps,correct
v2_blocked,fp16,512,5.08684,160,0.0317927,0.0527706,1,1
v3_packed,fp16,512,30.4956,160,0.190598,0.00880242,11,1
v4_regtile,fp16,512,20.9584,160,0.13099,0.012808,7,1
v5_micro,fp16,512,7.32952,160,0.0458095,0.0366239,2,1
v0_naive,fp16,1024,1.36862,160,0.00855389,1.56908,1,1
v1_ikj,fp16,1024,5.36634,160,0.0335396,0.400177,1,1
v2_blocked,fp16,1024,5.07236,160,0.0317023,0.42337,1,1
v3_packed,fp16,1024,30.3796,160,0.189872,0.0706884,1,1
v4_regtile,fp16,1024,21.2938,160,0.133086,0.10085,1,1
v5_micro,fp16,1024,7.32773,160,0.0457983,0.293063,1,1
v0_naive,fp16,2048,1.00716,160,0.00629476,17.0577,1,1
v1_ikj,fp16,2048,5.44117,160,0.0340073,3.15739,1,1
v2_blocked,fp16,2048,5.0212,160,0.0313825,3.42147,1,1
v3_packed,fp16,2048,29.8553,160,0.186596,0.575438,1,1
v4_regtile,fp16,2048,20.9328,160,0.13083,0.820714,1,1
v5_micro,fp16,2048,7.28802,160,0.0455501,2.35728,1,1
v0_naive,fp32,64,6.62097,160,0.0413811,7.9186e-05,15,1
v1_ikj,fp32,64,43.1335,160,0.269585,1.2155e-05,15,1
v2_blocked,fp32,64,42.4938,160,0.265586,1.2338e-05,15,1
v3_packed,fp32,64,32.8029,160,0.205018,1.5983e-05,15,1
v4_regtile,fp32,64,20.2303,160,0.126439,2.5916e-05,15,1
v5_micro,fp32,64,6.99732,160,0.0437332,7.4927e-05,15,1
v0_naive,fp32,128,4.981,160,0.0311312,0.000842061,15,1
v1_ikj,fp32,128,47.701,160,0.298131,8.7929e-05,15,1
v2_blocked,fp32,128,38.8002,160,0.242501,0.0001081,15,1
v3_packed,fp32,128,32.9785,160,0.206116,0.000127183,15,1
v4_regtile,fp32,128,21.2185,160,0.132616,0.000197672,15,1
v5_micro,fp32,128,7.34503,160,0.0459064,0.00057104,15,1
v0_naive,fp32,256,4.44444,160,0.0277777,0.00754976,13,1
v1_ikj,fp32,256,44.5225,160,0.278266,0.000753651,15,1
v2_blocked,fp32,256,39.7307,160,0.248317,0.000844547,15,1
v3_packed,fp32,256,30.7872,160,0.19242,0.00108988,15,1
v4_regtile,fp32,256,21.3237,160,0.133273,0.00157358,15,1
v5_micro,fp32,256,7.34677,160,0.0459173,0.00456724,15,1
v0_naive,fp32,512,2.94149,160,0.0183843,0.0912582,1,1
v1_ikj,fp32,512,38.3232,160,0.23952,0.00700451,14,1
v2_blocked,fp32,512,36.6952,160,0.229345,0.00731528,13,1
v3_packed,fp32,512,29.9478,160,0.187174,0.00896345,11,1
v4_regtile,fp32,512,21.2905,160,0.133066,0.0126082,7,1
v5_micro,fp32,512,7.38124,160,0.0461328,0.0363673,2,1
v0_naive,fp32,1024,1.05101,160,0.0065688,2.04326,1,1
v1_ikj,fp32,1024,32.4424,160,0.202765,0.0661937,1,1
v2_blocked,fp32,1024,32.2305,160,0.201441,0.0666289,1,1
v3_packed,fp32,1024,34.5712,160,0.21607,0.0621176,1,1
v4_regtile,fp32,1024,23.3026,160,0.145641,0.0921566,1,1
v5_micro,fp32,1024,7.36804,160,0.0460502,0.291459,1,1
v0_naive,fp32,2048,1.01676,160,0.00635474,16.8967,1,1
v1_ikj,fp32,2048,20.8116,160,0.130072,0.825496,1,1
v2_blocked,fp32,2048,21.3066,160,0.133166,0.806317,1,1
v3_packed,fp32,2048,28.5603,160,0.178502,0.60153,1,1
v4_regtile,fp32,2048,21.0453,160,0.131533,0.81633,1,1
v5_micro,fp32,2048,7.34411,160,0.0459007,2.33927,1,1
v0_naive,fp64,64,7.78291,80,0.0972864,6.7364e-05,15,1
v1_ikj,fp64,64,19.4217,80,0.242771,2.6995e-05,15,1
v2_blocked,fp64,64,21.5393,80,0.269241,2.4341e-05,15,1
v3_packed,fp64,64,16.6774,80,0.208468,3.1437e-05,15,1
v4_regtile,fp64,64,19.6069,80,0.245086,2.674e-05,15,1
v5_micro,fp64,64,7.65082,80,0.0956353,6.8527e-05,15,1
v0_naive,fp64,128,4.41244,80,0.0551555,0.000950563,15,1
v1_ikj,fp64,128,13.4413,80,0.168016,0.000312047,15,1
v2_blocked,fp64,128,21.6881,80,0.271101,0.000193392,15,1
v3_packed,fp64,128,19.0072,80,0.23759,0.000220669,15,1
v4_regtile,fp64,128,23.6428,80,0.295535,0.000177403,15,1
v5_micro,fp64,128,8.33699,80,0.104212,0.000503096,15,1
v0_naive,fp64,256,4.5312,80,0.05664,0.0074052,13,1
v1_ikj,fp64,256,18.5411,80,0.231764,0.00180973,15,1
v2_blocked,fp64,256,20.1535,80,0.251919,0.00166494,15,1
v3_packed,fp64,256,19.9792,80,0.24974,0.00167947,15,1
v4_regtile,fp64,256,24.1421,80,0.301776,0.00138987,15,1
v5_micro,fp64,256,8.40774,80,0.105097,0.0039909,15,1
v0_naive,fp64,512,1.18001,80,0.0147501,0.227486,1,1
v1_ikj,fp64,512,16.5429,80,0.206786,0.0162266,6,1
v2_blocked,fp64,512,19.2136,80,0.24017,0.0139711,7,1
v3_packed,fp64,512,14.5651,80,0.182064,0.01843,5,1
v4_regtile,fp64,512,19.4073,80,0.242591,0.0138317,7,1
v5_micro,fp64,512,8.43491,80,0.105436,0.0318243,3,1
v0_naive,fp64,1024,1.07551,80,0.0134439,1.99671,1,1
v1_ikj,fp64,1024,15.7769,80,0.197211,0.136116,1,1
v2_blocked,fp64,1024,18.5723,80,0.232154,0.115628,1,1
v3_packed,fp64,1024,19.1723,80,0.239654,0.11201,1,1
v4_regtile,fp64,1024,23.6861,80,0.296076,0.0906643,1,1
v5_micro,fp64,1024,8.23467,80,0.102933,0.260786,1,1
v0_naive,fp64,2048,0.638629,80,0.00798287,26.9012,1,1
v1_ikj,fp64,2048,6.33831,80,0.0792288,2.71048,1,1
v2_blocked,fp64,2048,12.4912,80,0.15614,1.37536,1,1
v3_packed,fp64,2048,17.2184,80,0.21523,0.997765,1,1
v4_regtile,fp64,2048,23.7736,80,0.29717,0.722645,1,1
v5_micro,fp64,2048,8.32161,80,0.10402,2.06449,1,1
